Season_Epi_code,Pitched_Business_Identifier,Amount_Asked_For,Exchange_For_Stake,Valuation,Pitched_Business_Desc,Deal_Status,Kevin O'Leary,Lori Greiner,Mark Cuban,Robert Herjavec,Daymond John,Barbara Corcoran,Others,Deal_Shark 1,Deal_Shark 2,Deal_Shark 3,Deal_Shark 4,Deal_Shark 5
614,Hoppy Paws,50000,0.1,500000,"stamp kits for simulating tracks left by holiday characters such as Santa's reindeer or the Easter Bunny . Create a new family tradition this Christmas and surprise your children with proof of a visit from Santa with Hoppy Paws stamp kit. Hoppy Paws œSantas Reindeer Hoof Print Stamp Kit includes a stamp kit, mixing tray and a secret powder to create a life sized, realistic Santas reindeer hoof print. Hoppy Paws will also offer more of a library next year with Santas Elf, the Easter Bunny, the Tooth Fairy and more!",1,0,0,0,0,0,1,0,Barbara Corcoran,,,,
614,Mensch on a Bench,150000,0.1,1500000,"an alternative to The Elf on the Shelf for Jewish families . Another tradition for Hanukkah intended to bring families together, Mensch on a Bench was created by a father who wanted to teach his kids the meaning of the Jewish holiday, all while starting a new holiday tradition. The Mensch on a Bench set includes a 12³ plush Moshe doll, a hardcover book and removable bench.",1,0,1,0,1,0,0,0,Lori Greiner,Robert Herjavec,,,
614,Q-Flex,20000,0.2,100000,"a personal acupressure device .  Suffer from body soreness? Wife wont give you a massage? A self acupressure massage device, the Q-Flex is designed to relieve common stress and tension by simply applying pressure to specific points of your body. It is light in weight, durable and so easy anyone can use it. The Q Flex Acupressure is made from high quality polycarbonate material which lets the device bend just enough without breaking.",1,0,0,0,0,0,1,0,Barbara Corcoran,,,,
615,BeverageBoy,50000,0.15,333333,a beverage koozie that floats in water ,1,0,0,0,0,1,0,0,Daymond John,,,,
615,FunBites,75000,0.2,375000,"plastic devices for cutting food into fun shapes for children who are picky eaters . Are your kids picky when it comes to eating healthy food or any food in general you know they would like if they just tried it? Funbites gives you a fighting chance! Funbites food cutter turns normal food into bite-sized fun shaped your children can enjoy. Coming in a variety of cool shapes and colors, Funbites is strong, durable and made in the USA. They are perfect for pancakes, deli meat, grilled cheese, quesadillas, burgers and more!",1,0,1,0,0,0,0,0,Lori Greiner,,,,
615,Himalayan Dog Chew,750000,0.05,15000000,"high nutrient dog treats made from specially processed yak cheese . Originally created from an ancient Himalayan recipe, Himalayan Dog Chew are hard cheese snacks made of Yak and Cow Milk editable for all sized dogs. Containing all natural products and no preservatives, Himalayan Dog Chews are a healthy, high quality dog chew sure to give your pet plenty of eating entertainment.",0,0,0,0,0,0,0,0,,,,,
615,The Lip Bar,125000,0.2,625000,a line of lipsticks in nontraditional colors . Create any customized lipstick shade with the Lip Bar. Perfect for women looking for that unique and creative shade of lipstick.,0,0,0,0,0,0,0,0,,,,,
616,Balm Chicky Balm Balm,75000,0.2,375000,a lip balm container with a secondary tip for sharing with others without spreading germs ,0,0,0,0,0,0,0,0,,,,,
616,BedJet,250000,0.1,2500000,"a climate control system for maintaining beds at a desired temperature . Weve all been there. Cant sleep because you are either too hot or too cold. If only there was something you could do that would instantly make sleeping in your bed comfortable on any of these given nights. Your solution, is here. BedJet is a luxury climate control system that cools or heats within your bed. Its especially perfect for couples who have opposite tastes for surrounding temperatures, as BedJet can control the climate of both sides of the bed. No, for real, one side can be cool and the other side warm.",0,0,0,0,0,0,0,0,,,,,
616,Drain Strain,110000,0.15,733333,"a sink stopper that keeps drains free from hair clogs . Tired of clogged drains? Drain Strain, the Never Clog Drain System is the solution to this annoying and costly problem. With Drain Strain, say good bye to high cost plumber calls and environmentally harmful chemicals for pouring use down your drain. Drain Strain is also preventative in terms of losing valuables such as jewelry and contacts. Drain Strain is easy to install and uninstall too! Just œTurn, Lift & Click.",1,0,0,0,0,0,0,1,Others,,,,
616,Fresh Patch,150000,0.1,1500000,"a delivery service for patches of live grass for pet owners without yards . Fresh Patch is real grass and the perfect training solution for your new puppy. Alternative to the traditional pee pad, Fresh Patch uses natural grass, grabbing you pets instinctive attention. Fresh Patch is full disposable, requiring no emptying, cleaning or disinfecting. Since its real grass here, it naturally absorbs urine and controls odors. Its also very convenient, eco-friendly and very much affordable. Get your Fresh Patch today!",1,0,0,0,0,0,0,1,Others,,,,
617,Keen Home,750000,0.1,7500000,air vents for smart homes that can control air flow to individual areas ,1,0,0,0,0,0,0,1,Others,,,,
617,LuminAID,200000,0.1,2000000,"an inflatable, solar powered lighting device ",1,0,0,0,0,0,0,1,Others,,,,
617,Scholly,40000,0.15,266667,an app that helps match students to scholarships ,1,0,0,0,0,0,0,1,Others,,,,
617,Taaluma Totes,110000,0.15,733333,backpacks made from traditional fabrics from various countries ,0,0,0,0,0,0,0,0,,,,,
618,BedRyder,200000,0.15,1333333,a set of seats with restraints to be installed in the bed of a pickup truck to allow passengers to ride in truck beds legally ,0,0,0,0,0,0,0,0,,,,,
618,Coco Jack,125000,0.1,1250000,a set of tools for easier opening of Thai coconuts and extracting the meat from within . Coco Jack is a safe and easy way to open young Thai Coconuts.,1,0,0,0,0,0,0,1,Others,,,,
618,Frill Clothing,100000,0.2,500000,"designers and producers of custom clothing for college sororities . Creating looks that empower young women, Frill Clothing designs unified and defined clothing for sorority girls.",1,0,0,0,0,0,0,1,Others,,,,
618,The Twin Z Pillow,75000,0.1,750000,"a pillow that is specially designed to aid mothers of multiple children feed two children simultaneously . Moms of twins, your prayers have been answered! The Twin Z Pillow is the FIRST and ONLY pillow for twins out there on the market today. The pillow has up to six uses; it can be used for breastfeeding and bottle feeding, tummy time, for support, for moms as a pregnancy pillow and toddlers too. All in all its the perfect, most convenient soft pillow for mothers with multiples. This cushion is suitable for all sized babies and has a removable washable cover that can be put into any washer machine and dryer combination. Life EASIER for Moms with multiples!",1,0,0,0,0,0,0,1,Others,,,,
619,Bello Verde,360000,0.06,6000000,a custom suit and clothing label ,0,0,0,0,0,0,0,0,,,,,
619,Lumio,250000,0.08,3125000,"an elegant lighting device that folds like an accordion . Lumio is simply one of those œoooh and ahhh kind of products. Dynamic and multi-functional, Lumio is a hard-cover book when closed and a bright and vivid lamp when opened. Lumio Book Lamp is perfect for when youre outdoors or on the go and also in the comfort of your own home. It opens up to a full 360 degrees and provides up to 8 hours of LED lighting when charged with a micro-USB charger. Lumio is available in two different book forms including Dark Walnut and Blonde Maple. Each set comes with magnetic wooden pegs for mounting and a leather strap for easy hanging.",1,0,0,0,1,0,0,0,Robert Herjavec,,,,
619,Napwell,100000,0.1,1000000,a sleep mask that uses light to wake the user gradually . The Worlds First Napping Mask. Fall asleep gently and wake up refreshed with Napwell Sleeping Mask. ,0,0,0,0,0,0,0,0,,,,,
619,TurboPUP,100000,0.2,500000,"complete canine meal bars . Fuel your dog with TurboPup K9 Energy Bars. Healthy, human grade, all natural and grain-free, TurboPup is the go-to on the go treat for your pup. The Dog energy bar is a complete meal replacement and full of premium ingredients in one compact bar. TurboPup is a delightful, dog-approved pet food perfect for when you are out on a day hike, camping or an extended trip.",1,0,0,0,0,0,0,1,Others,,,,
620,GreenBox,300000,0.1,3000000,"a pizza delivery box made out of recycled materials that can be broken down into plates and storage containers . Eco-friendly and 100% recyclable, the GreenBox Pizza Box is a game changer in the Pizza delivery industry. It is uniquely engineered to break up into four sturdy plates and still maintain its box use for storing left overs. This eliminates the need to waste the likes of plastic wrap, aluminum foil disposable plates and more. Own a Pizza place? GreenBox offers customization to suit your branding! Get GreenBox, the pizza box of the 21st century.",1,0,0,0,0,0,0,1,Others,,,,
620,Phonesoap,300000,0.08,4000000,"a device that uses ultraviolet light to remove bacteria from cell phones while charging them . “ UV Phone Device Sanitizer & Charger Have you ever taken a moment to realize how dirty our phones are? Whether you have or not, it is a fact that our phones are EXTREMELY filthy. The truth is our phones are more bacteria-filled than a toilet or the scum off the bottom of your shoe. Sure, you can use phone sanitizer wipes, but that can get somewhat costly and is rather inconvenient. Enter PhoneSoap Phone Sanitizer, the first and only of its kind and the easiest and most effective way to sanitize your phone. Killing 99.9% of germs with powerful UV lights, PhoneSoap allows you to seamlessly sanitize your smart phone during the time you are charging.",1,0,1,0,0,0,0,0,Lori Greiner,,,,
620,Tycoon Real Estate,50000,0.05,1000000,"a crowd investing platform for real estate . Tycoon Real Estate, the online investment club for serious real estate investors seeking high-end, otherwise inaccessible private investments of virtually all asset classes. Discover deals, share expertise, invest together, and profit with Tycoon Real Estate.",0,0,0,0,0,0,0,0,,,,,
620,Victoria's Kitchen Almond Water,200000,0.2,1000000,"a line of almond water beverages . Inspired by a very special grandmas recipe from South France, Victorias Kitchen Almond Water is a tasty alternative to lemonade or Iced Tea and an absolute delight! Containing purified water, cane sugar, natural flavors and extracts, Victorias Kitchen Almond Water uses only the best ingredients. The flavors include Original, Coconut and Organic Lemonade. Yum!",0,0,0,0,0,0,0,0,,,,,
621,Aqua Vault,75000,0.12,625000,a locking container that can be attached to chairs and rails to secure valuables while swimming ,1,0,0,0,0,1,0,0,Daymond John,,,,
621,EmazingLights,650000,0.05,13000000,"LED-powered light gloves for gloving in dance clubs . Opening doors to creative expression, what was once a simple LED toy for music festivals, these gloves have created a community of Light Show artists to transform the way we think of entertainment and art. A trending product growing exponentially in popularity, EmazingLights provides LEDs, gloves, accessories, and apparel for light enthusiasts everywhere. Perfect for clubbing, musical events, and light shows, EmazingLights products are the first in a wave of new party accessories. Located in sunny California, they also puts on local events such as Friday Night Lights, BOSS Competitions, and the International Gloving Championship!",1,0,0,1,0,1,0,0,Daymond John,Mark Cuban,,,
621,Naja,500000,0.05,10000000,"a lingerie brand . Najas lingerie lines are built on the belief that a high-quality bra should not cost you $80+, but should also not sacrifice quality to attain a low price. Stylish in design, Naja underwear, bras, knickers and lingerie products feature a quality and attention to detail that only luxury brands tend to provide. Right down to the materials used for their memory foam cups, interior bra prints, and ultrasonic sealed bra straps. The products are also artsy, especially their œCheeky Knickers collection, which features prints with foods on them, kitty cats, and East Asian-inspired designs. Dont be alarmed though, if you like traditional designs and colors, Naja still has you covered (literally)! Naja also combines their business with an entrepreneurial stroke with their sewing program through the Golondrinas Foundation, which teaches single or head of household mothers to sew and make a living doing it! Add a little style to your behind and grab a pair now!",0,0,0,0,0,0,0,0,,,,,
622,BoobyPack,80000,0.2,400000,a sports bra with pockets for holding valuables ,1,0,0,0,0,0,1,0,Barbara Corcoran,,,,
622,Gold Rush Nugget Bucket,60000,0.15,400000,"a bucket and screen system to make panning for gold easier . Solving the tedious process of panning little grains of gold from debris, Gold Rush Nugget Bucket concentrates the tiny particles of gold in the pan beneath; making the gold panning process easy. Beautifully organizing particles of valuable rock, Gold Rush Nugget Bucket Gold Panning Kit is a gold mining dream.",1,0,0,0,1,0,0,0,Robert Herjavec,,,,
622,Lumi,250000,0.05,5000000,"a do-it-yourself process for printing photos onto clothing . Want to design a shirt the modern way? Lumi Solar-powered t-shirt printing is the easiest way to print your own shirts and textiles. Featuring innovative, solar powered Inkodyne, Lumi is a printing kit that comes with everything you need print awesome, new-age patterns and colors on just about any clothing material you can get your hands on. Simply apply the ink for about 10 minutes on a nice sunny day and boom, done!",0,0,0,0,0,0,0,0,,,,,
622,Sseko Designs,300000,0.1,3000000,"handcrafted sandals with interchangeable accents . Sseko Designs have a history of employing women in Uganda to make sandals, giving them the opportunity to earn money and pursue education. The sandal company is pioneer in producing t-strap sandals and unique custom sandals. Sseko also produces lace up and stylish ribbon sandals unlike footwear you have seen before.",0,0,0,0,0,0,0,0,,,,,
623,Gato Cafe,100000,0.2,500000,"a cat café . Gato Cafe is an idea that comes to the Shark Tank to pitch a cafe full of cats. If you love cats, and there are many of you, and you want to go out to eat and be surrounded by them, well Gato Cafe is an idea you may love. Looking to open their first location Gato Cafe is still in the funding stage and was recently on IndieGoGo. ",0,0,0,0,0,0,0,0,,,,,
623,Shark Wheel,100000,0.05,2000000,"a helical wheel for skateboards that is more maneuverable and has better grip . The pitch to the Shark Tank is for square skateboard wheels “ ok almost square “ square plus semi-circular plus a sinewave. Invented for another reason, these wheels allow boarders to avoid crashing from dibree or rough terrain.",1,1,0,1,0,0,0,0,Kevin O'Leary,Mark Cuban,,,
623,Spikeball,500000,0.1,5000000,"a variant of volleyball with a circular net in the middle of the field . Spikeball pitches Shark Tank a new game that is like four-square meets volleyball outdoor sport for pairs. Instead of a net, there is a small, round trampoline on the ground between the two teams and you spike the ball into it. With no out of bounds, youre sure to get exercise and have lots of fun.",1,0,0,0,0,1,0,0,Daymond John,,,,
623,Sway Motorsports,300000,0.1,3000000,"an electric commuter vehicle with characteristics of a motorcycle and an all-terrain vehicle . Sway motorsports pitches the Shark Tank. Imagine a scooter with three wheels but instead of turning the wheels to turn, you lean, a bit like skiing meets the motorcycle. More fun, this electric, rechargeable scooter can go 40+ miles on a charge and is great for zooming safely around town.",1,0,0,1,0,0,0,0,Mark Cuban,,,,
624,Buck Mason,200000,0.08,2500000,"a line of basic men's clothing manufactured in the USA . Buck Mason is an American-made clothing line that features clothes that are of a œTimeless Design and really Made in America. Priced less that many high-end œmade elsewhere clothes you find in the mall, Buck Mason in the 21st century gives you a classic clothing line, made entirely in the USA and at a decent price.",0,0,0,0,0,0,0,0,,,,,
624,Noene USA,100000,0.1,1000000,"ultra-thin shock absorbing shoe insoles . Bryon Scott, former NFL linebacker with four different teams, comes into the Shark Tank to pitch Noene, his high-tech insoles. Made in Switzerland, from a proprietary rubber, these insoles are designed to take the shock out of all your movement.",1,0,0,0,0,0,0,1,Others,,,,
624,SnagaStool,120000,0.18,666667,"a barstool reservation app . Snag a Stool is an app that solves the tired problem of hovering when waiting to get a seat in a crowded restaurant or bar. Only in Boston so far, this app helps you save a seat at a favorite spot on a busy or popular night.",0,0,0,0,0,0,0,0,,,,,
624,ZinePak,725000,0.1,7250000,"exclusive merchandise and collectables for superfans of various entertainment media . Are you a super fan? ZinePak creates a super fan package including magazines, CDs, and lovable odds&ends that connect you more to your favorite entertainer, musician, or super pop star. Sometimes its a special limited edition or its widely available at super stores.",1,0,0,0,0,0,0,1,Others,,,,
625,Sunscreen Mist,400000,0.15,2666667,"a booth for automated application of sunscreen . You seen photo booths, but now there is Sunscreen Booths! Sunscreen Mist allows you to get misted with sunscreen “ your choice of 15/30 spf, and bug repellent, tanning agent, or even aloe. One less thing to carry with you. Now when youre at the beach, you dont need to stand down wind from that woman who sprays a whole bottle of sunscreen mist.",0,0,0,0,0,0,0,0,,,,,
625,SynDaver Labs,3000000,0.1,30000000,"synthetic human tissues and body parts for medical training and development . Thinking of becoming creepy? Well, now you can do it safely with artificial cadavers that are gross, creepy and realistic. And hey, you can even study medicine with them. So when youre friends find out youre a bit off kilter, you can just tell them your pre-med and dont want the stench of a dead body around “ totally norma.",1,0,0,0,1,0,0,0,Robert Herjavec,,,,
625,You Kick Ass,100000,0.1,1000000,"personalized, customizable action figures ",1,0,0,0,0,0,0,1,Others,,,,
625,Zoom Interiors,100000,0.2,500000,an online interior design service . These 3 design ladies will help you transform your living space by learning about you. Its almost like a match-making service where you get to figure out whats best suited for you. But the girls dont come with the room.,1,0,0,0,0,0,0,1,Others,,,,
626,Frameri,150000,0.04,4285714,"eyeglasses with interchangeable lenses and frames . Frameri brings us interchangeable frames and lenses “ simply pop the lenses out of one frame and into the one you want to wear next! Never worry about having only one frame to wear “ now you can coordinate, look good and still see clearly.",0,0,0,0,0,0,0,0,,,,,
626,The Paleo Diet Foods,150000,0.2,750000,"a meal bar designed for consumers of the paleo diet . How do you support your Paleo diet if youre out and about, or exercising? The Paleo Bar was invented to help you get the benefits of the Paleo Diet in a convenient nutrition bar. Now you dont have to cheat or compromise while inconveniently away from your stash of food.",0,0,0,0,0,0,0,0,,,,,
626,World Record Striper Company,75000,0.2,375000,"a rattle sinker that uses sound to attract fish, designed by the world record holder for the largest striped bass . Love to fish for Striped Bass? These amazing lures helped bag the World Record Striped Bass! These lures use sound to mimic crustaceans like baby lobsters, crabs, shrimp or crayfish to give you an extreme advantage to help you reel in the biggest fish youve ever caught.",1,0,0,1,0,0,0,0,Mark Cuban,,,,
626,Zero Pollution Motors,5000000,0.5,10000000,"a compressed air car manufactured by Motor Development International . Want to cut down on car exhaust? Use the AirPod from Zero Pollution Motors. At under $10,000 it runs on compressed air and has a top speed of about 50 mph. Forget the golf cart, the AirPod is the new coolest way to travel. Could it have heat and AC too? At speeds of 20mph to 30mph, it can travel 100 miles per compressed air tank.",1,0,0,0,1,0,0,0,Robert Herjavec,,,,
627,Beneath the Ink,350000,0.1,3500000,"a service that integrates annotated supplementary information into e-books . Beneath the Ink pitches the Shark Tank and introduces Binks which allow publishers and authors to include extra information within their digital ebooks to give readers access to more information, related titles and even, perhaps “ other revenue generating options. Beneath the Ink pitches Shark Tank for a deal. ",0,0,0,0,0,0,0,0,,,,,
627,Melni Connectors,500000,0.05,10000000,a simpler connector for industrial electrical cables ,1,0,0,1,0,0,0,0,Mark Cuban,,,,
627,NeatCheeks,150000,0.2,750000,"wipes flavored with stevia for cleaning children's faces . NeatCheeks is a sweet flavored face wipe that is clean, tasty, and a safe way to clean baby faces without slathering them in chemical cleaners and the nasty smells of sanitizer. No more fuss wiping your lil faces around the table.",1,0,0,0,0,0,1,0,Barbara Corcoran,,,,
627,PittMoss,600000,0.25,2400000,an alternative to peat moss manufactured from recycled newspaper . Harvesting peat moss is an environmental task and disturbs wetlands. Pitt Moss is a recycled paper substitute that has been thoroughly tested in labs and real use to replace peat moss and save the wetlands.,1,1,0,1,1,0,0,0,Kevin O'Leary,Mark Cuban,Robert Herjavec,,
628,BeeSweet Lemonade,60000,0.1,600000,honey-sweetened lemonade with flaxseed ,1,0,0,0,0,1,0,0,Daymond John,,,,
628,BrandYourself,2000000,0.14,14814815,software to improve search results for individuals and businesses ,0,0,0,0,0,0,0,0,,,,,
628,iCPooch,150000,0.2,750000,"a device that allows two-way video chat between pets and their owners and can dispense treats . Its hard to travel when you have a lovable puppy at home, especially when he/she cannot come along for the journey. Now there is a way to communicate and interact with your puppy while being states away. Introducing iCPooch, an innovative way to not only chat with your puppy, but also dispense treats for him/her.",0,0,0,0,0,0,0,0,,,,,
628,The Home T,250000,0.05,5000000,"a line of clothing and accessories focusing on the customer's home state or land . Have you ever been walking the streets of a large metropolitan area and have people asking you where youre from (because obviously you arent fitting in)? The Home T offers a simple solution to this situation. You can now purchase a t-shirt that has your home state on it, with a simple, yet elegant œhome. on the front. Available in crew neck, v-neck, baseball ts, tank tops, hoodies and more! The company also sends a portion of proceeds to multiple sclerosis research and all products are made right here in the USA!",0,0,0,0,0,0,0,0,,,,,
629,Bee Thinking,400000,0.1,4000000,"beehives in various modern designs . Matt Reed started Bee Thinking and builds hives in Portland, Oregon from Western Red Cedar. Matt pitches the Sharks to go big with Bee Thinking so everyone can have a backyard bee hive.",0,0,0,0,0,0,0,0,,,,,
629,Budsies,100000,0.05,2000000,a company that creates custom plush toys based on children's drawings ,0,0,0,0,0,0,0,0,,,,,
629,Forus Athletics,200000,0.15,1333333,workout and athletic shoes ,0,0,0,0,0,0,0,0,,,,,
629,PullyPalz,100000,0.2,500000,"a pulley system to keep two pacifiers available to infants in case they lose one . Who hasnt had to pick up and suck the dirt off (yuck!) the pacifier that junior just spit out, but really wants back in a hurry? Well, now PullyPalz creates peace wherever you go. Junior can spit all he wants and grab that pacifier himself without it touching the ground.",1,0,1,0,0,0,0,0,Lori Greiner,,,,
701,Acton,,,,"motorized roller skates that strap onto shoes . Acton Skates and Scooters builds electric scooters, skateboards and skates. The Blink Board, 2 types of Rocket Skates and the M Scooter. They are rechargeable and eco-friendly. ",0,0,0,0,0,0,0,0,,,,,
701,Mark CubanClary Bros. Drinking Vinegars,,,,"a line of vinegars to be used in cocktails and soda mixers . Mark CubanClary Brothers Drinking Vinegars brings back the fruit sweetened vinegar and soda œshrub Drinks from days past. Using natural ingredients and flavored drinking vinegars or vinegar syrup, they hope to revive an old-style cocktail.",0,0,0,0,0,0,0,0,,,,,
701,SignalVault,,,,"a protector for credit cards to prevent them from being remotely scanned . SignalVault protects your credit cards, driver license, and passports and anything with RFID from being stolen by hackers. The cards fit in your wallet and detect hacking and hide your cards from hackers so they cant be read and stolen. No batteries required.",1,0,1,0,1,0,0,0,Lori Greiner,Robert Herjavec,,,
701,The Beebo,,,,"a baby bottle holder to make feeding easier . The Beebo is a new hands-free way to bottle feed your baby, improving feeding and giving freeing your hands to eat, read, or just scratch your nose.",1,0,1,0,0,0,0,0,Lori Greiner,,,,
702,Loliware,,,,edible disposable cups with various flavors ,1,0,0,0,0,0,0,1,Others,,,,
702,Mikki Bey Eyelash Extensions,,,,"an eyelash extension service . Mikki Bey bring her celebrity approved eye lash extensions into the Shark Tank looking to grow. These are not false lashes, these are extensions, and Mikki Bey is in demand. Can she get a deal? ",0,0,0,0,0,0,0,0,,,,,
702,O'Dang Hummus,,,,"a line of flavored hummuses and hummus-based salad dressing . ODang Hummus created dairy free, oil free salad dressing/sauce that is not only healthy but tastes dang good too. Flavors like Ranch, Caesar, Bomb-a-licious Buffalo Wing, and Hummy Mustard, they are sure to be a hit.",1,0,1,0,1,0,0,0,Lori Greiner,Robert Herjavec,,,
702,Splikity,,,,password manager software that can sync across multiple platforms and devices . Splikity is software that syncs all of your devices and uses military encryption to remember all your passwords so you dont have to. It even creates strong passwords for you so youre even more secure than using your favorite password everywhere.,0,0,0,0,0,0,0,0,,,,,
703,Foot Cardigan,,,,"a mail-order subscription service for fun and unique socks . Foot Cardigan is a monthly subscription to socks “ crazy socks for adults, kids, girls and boys. Creative designs and colors to make your feet happy.",1,0,0,1,0,0,0,0,Mark Cuban,,,,
703,Nerdwax,,,,a product to prevent eyeglasses and sunglasses from slipping off the nose . Nerdwax is a beeswax based blend created and formulated to keep your glasses in place while you live your life.,0,0,0,0,0,0,0,0,,,,,
703,The Two Guys Bowtie Company,,,,"wooden bowties, hats, and accessories . Two Guys Bow Ties has recreated fashion by bringing wood into style, making bow ties, pocket squares, lapel flowers, and wood brimmed fedoras from rare and exotic pieces of hardwood.",1,0,0,0,0,1,0,0,Daymond John,,,,
703,ValPark Mobile,,,,"an app for valet and garage parking . ValPark is an app that helps manage parking operations for valet, parking garages, and event parking.",0,0,0,0,0,0,0,0,,,,,
704,HotShot,,,,"ready-to-drink, canned hot coffee . Hotshot is HOT coffee and HOT chocolate in a single serve can thats heated and stored hot in the HotBox “ a HOT Fridge. Its HOT grab-n-go drinks that are always perfect temperature, always ready.",0,0,0,0,0,0,0,0,,,,,
704,Rent Like a Champion,,,,"a service to rent homes in collegiate sports towns on game weekends . Rent Like a Champion is the AirBnB for college games, graduation ceremonies, etc. They provide private home rentals near campus in college towns around the country so you can have a place to stay when you go see your favorite college sports game, or see your favorite college kid graduate.",1,0,0,1,0,0,0,0,Mark Cuban,,,,
704,S.T.E.M. Center USA,,,,"a learning center for science, technology, engineering, and math and their associated technology . STEM Center USA develops a passion for STEM careers with activities for middle and high school students.",1,0,1,0,0,0,0,0,Lori Greiner,,,,
704,Windcatcher Technology,,,,"a valve that allows for quicker inflation of objects such as air mattresses . Windcatcher Technology creates inflatable outdoor and travel gear products which use a patented rapid inflation technology to allow them to inflate in seconds, without any power or pumping.",1,0,1,0,0,0,0,0,Lori Greiner,,,,
705,Switch Witch,,,,a children's book and doll to encourage children to trade their Halloween candy for a gift . Switch Witch helps parents start a new Halloween tradition of exchanging some of their candy for a gift. ,0,0,0,0,0,0,0,0,,,,,
705,The Skinny Mirror,,,,a mirror that reflects a slightly slimmer reflection to boost self-confidence . The Skinny Mirror will become the favorite mirror for many women because it gives a slimming reflection of 5-10 pounds that works on the psyche over time. ,0,0,0,0,0,0,0,0,,,,,
705,Three Jerks Jerky,,,,"premium beef jerky made from filet mignon . Beef jerky made with filet mignon. Amazing meat, not that stuff that gouges your gums and makes your teeth beg for mercy. It comes it unique flavors and and no nitrates, gluten, or preservatives.",1,0,0,0,0,1,0,0,Daymond John,,,,
705,XCraft,,,,"a personal use drone that can convert in-flight from hover mode to a fast forward-flight plane mode . XCraft makes the X PlusOne and the PhoneDrone. The XPlusOne can self control and follow a flight plan. The Phone Drone will use your phone as the brains and follow you, take pics, and is an inexpensive entry into the UAV world.",1,1,1,1,1,1,0,0,Daymond John,Kevin O'Leary,Lori Greiner,Mark Cuban,Robert Herjavec
706,Dude Wipes,,,,"disposable toilet wipes marketed for men . Dude Wipes are flushable wipes that are naturally soothing, paraben free, fragrance free & hypoallergenic “ and theyre flushable & biodegradable.",1,0,0,1,0,0,0,0,Mark Cuban,,,,
706,EZ-Pee-Z,,,,"a toilet seat with a built-in potty training aid . EZPeeZ is a standard toilet seat that with a simple flip of the lid converts to a child size seat making potty training as EZ as 1,2Pee!",0,0,0,0,0,0,0,0,,,,,
706,Milk + Brookies,,,,a combination of a brownie and a cookie . Milk + Brookies is the home of the brookie “ brownie-cookie mash-ups that can best be described as brownies topped with cookies or the justification for eating two desserts at once.,0,0,0,0,0,0,0,0,,,,,
706,Table 87 Coal Oven Pizza,,,,"a flash-frozen New York-style pizza . Table 87 Coal Oven Pizza “ Home Of The Coal Oven Slice. Finally you can enjoy coal oven pizza anytime anywhere, freezer to plate in minutes. ",1,0,1,0,0,0,0,0,Lori Greiner,,,,
707,Beard King,,,,"a bib used while shaving to catch cut facial hairs . Beard King is an accessory that allows you to trim your beard and keep all the clippings from going everywhere “ like the soap, toothbrushes, floor “ and making clean up simple and easy.",1,0,1,0,0,0,0,0,Lori Greiner,,,,
707,Fixed,,,,"a smartphone app that helps overturn invalid parking and traffic violation tickets . Fixed is the easiest way to deal with a traffic ticket “ submit your ticket and if they can help you, theyll let you know and get the ticket and point dismissed. Fast & Free Ticket Review. Attorneys from $150. 90% success rate.",1,0,0,1,0,0,0,0,Mark Cuban,,,,
707,Hatch Baby,,,,"a smart changing pad that syncs information on the infant to a smartphone . Hatch Baby is a baby changing station with scale and feeding/diaper/more tracker all-in-one, that tracks all your baby health info and gives it to you in an app for your phone to help you track your babys health and growth.",1,0,0,0,0,0,0,1,Others,,,,
707,Village Scholarships,,,,a crowdfunding approach to college scholarships . Village Scholarships is an online peer-to-peer scholarship website that allows anyone to create a college scholarship/grant and students can apply for them. ,0,0,0,0,0,0,0,0,,,,,
708,Clean Cube,,,,"a digital doorman storage system for drop-off and pick-up of various delivery items . Clean Cube is a cleaning, delivery service for buildings so renters can drop off and pick up laundry without leaving the building or finding a shop.",0,0,0,0,0,0,0,0,,,,,
708,Saavy Naturals,,,,"a line of beauty bars and lotions made from food-grade ingredients . Saavy Naturals is Artisan Body Care thats 100% natural, and made from 100% food grade ingredients. Our entire line is also Vegan, Gluten-free, Soy-free, non-GMO, and Palm-free. Good for your skin and a feast for your senses.",1,0,0,0,0,0,1,0,Barbara Corcoran,,,,
708,Simply Fit Board,,,,"a modified balance board for better workouts . The Simply Fit Board is a workout balance board that twists. Designed to be a fun workout that targets your waist and muffin top, improves balance and strengthens your core. Can be used in a variety of workouts.",1,0,1,0,0,0,0,0,Lori Greiner,,,,
708,Wink Frozen Desserts,,,,"a healthier alternative to ice cream that is dairy free, vegan, and just 100-calories per pint . Wink Frozen Deserts is a non-dairy, non-gluten, healthy alternative for ice cream. They have 10 very cool flavors and most are only 100 calories for an entire pint.",0,0,0,0,0,0,0,0,,,,,
709,AfreSHeet,,,,"a bedsheet with removable disposable layers for easier cleaning . AfreSHeet is the worlds first and only fitted sheet with seven soft, waterproof peel away layers. If you soil the sheet, INSTANTLY peel away that layer to reveal a new one below.",0,0,0,0,0,0,0,0,,,,,
709,Grip Clean,,,,a natural hand soap that uses dirt to remove heavy grease . Grip Clean is an all-natural industrial strength hand soap “ made with dirt “ created by three-time XGames medalist Bryce Hudson. ,1,0,1,0,0,0,0,0,Lori Greiner,,,,
